,champion_name,champion_class,patch,y_true,y_pred,error,abs_error
443,Hwei,Unknown,14.18,-0.14999999999999858,-0.03996851,-0.11003149077296115,0.11003149077296115
551,Hwei,Unknown,14.21,1.1199999999999974,1.0943738,0.025626177787778204,0.025626177787778204
573,Illaoi,Unknown,14.22,-2.9399999999999977,-0.040583596,-2.899416404366491,2.899416404366491
552,Irelia,Fighter,14.21,0.19000000000000483,-0.0026631153,0.1926631152723033,0.1926631152723033
444,Ivern,Unknown,14.18,-3.8299999999999983,-0.05949662,-3.7705033811926825,3.7705033811926825
445,Jax,Fighter,14.18,0.9500000000000028,1.454705,-0.5047049999237032,0.5047049999237032
574,Jax,Fighter,14.22,-1.3100000000000023,-1.2740331,-0.03596693038940657,0.03596693038940657
446,Jayce,Unknown,14.18,1.8500000000000014,-0.022729611,1.872729611024262,1.872729611024262
530,Jhin,Marksman,14.20,0.4299999999999997,0.9423789,-0.5123788785934451,0.5123788785934451
447,Jinx,Marksman,14.18,-0.740000000000002,1.46203,-2.202030053138735,2.202030053138735
592,Jinx,Marksman,14.23,-1.1600000000000037,-0.9276541,-0.23234591245651615,0.23234591245651615
464,KSante,Unknown,14.19,1.9299999999999997,-0.66807956,2.598079555034637,2.598079555034637
531,KSante,Unknown,14.20,1.2899999999999991,1.3892579,-0.0992579078674325,0.0992579078674325
553,Karthus,Unknown,14.21,0.21999999999999886,0.1306085,0.08939150094985848,0.08939150094985848
554,Kassadin,Unknown,14.21,0.5300000000000011,0.0007033074,0.5292966926074598,0.5292966926074598
417,Katarina,Assassin,14.16,-0.6199999999999974,0.034675308,-0.6546753075718854,0.6546753075718854
429,Katarina,Assassin,14.17,-0.44999999999999574,-0.6124057,0.16240571737289855,0.16240571737289855
575,Katarina,Assassin,14.22,0.3499999999999943,0.13097982,0.21902017891406445,0.21902017891406445
555,Kayle,Unknown,14.21,0.12000000000000455,0.89830625,-0.7783062505722,0.7783062505722
430,Kennen,Unknown,14.17,-0.11999999999999744,0.45534945,-0.575349445343015,0.575349445343015
