,champion_name,champion_class,patch,y_true,y_pred,error,abs_error
1263,Nocturne,Assassin,14.21,-0.07000000000000028,-0.11543939,0.04543939262628527,0.04543939262628527
1264,Nocturne,Assassin,14.22,-0.4200000000000017,-0.4506431,0.030643092393873417,0.030643092393873417
1265,Nocturne,Assassin,14.23,0.44000000000000483,0.5154244,-0.0754243707656812,0.0754243707656812
1266,Nocturne,Assassin,14.24,-0.3299999999999983,-0.34059802,0.010598016977311886,0.010598016977311886
1021,Nunu,Tank,14.15,3.299999999999997,0.5568601,2.743139910697934,2.743139910697934
1022,Nunu,Tank,14.16,-1.3699999999999974,-1.2986423,-0.07135772228240711,0.07135772228240711
1023,Nunu,Tank,14.17,0.21999999999999886,0.17967065,0.040329353213309105,0.040329353213309105
1024,Nunu,Tank,14.18,0.509999999999998,0.54338586,-0.03338586330414017,0.03338586330414017
1025,Nunu,Tank,14.19,0.9500000000000028,1.0345777,-0.08457772731780722,0.08457772731780722
1026,Nunu,Tank,14.20,-1.4699999999999989,-1.355752,-0.1142480087280262,0.1142480087280262
1027,Nunu,Tank,14.21,0.4799999999999969,0.38569155,0.09430844664573357,0.09430844664573357
1028,Nunu,Tank,14.22,-0.10999999999999943,-0.21531303,0.10531303226947841,0.10531303226947841
1029,Nunu,Tank,14.23,1.0799999999999983,1.2397264,-0.15972642421722583,0.15972642421722583
1030,Nunu,Tank,14.24,-1.019999999999996,-1.0258317,0.00583169937134187,0.00583169937134187
627,Pantheon,Fighter,14.20,-2.6299999999999955,-0.24501248,-2.3849875229597046,2.3849875229597046
628,Poppy,Tank,14.20,1.6899999999999977,0.8875696,0.802430393695829,0.802430393695829
676,Poppy,Tank,14.22,-0.6300000000000026,-0.3842179,-0.245782111883166,0.245782111883166
708,Poppy,Tank,14.24,0.20000000000000284,-0.12619935,0.32619934976101206,0.32619934976101206
507,Pyke,Support,14.17,0.9699999999999989,-0.1752998,1.1452997934818256,1.1452997934818256
491,Qiyana,Assassin,14.16,-1.4500000000000028,0.46945992,-1.9194599211216001,1.9194599211216001
